rank,id,county_name,media_market,enrollment_score
1,fa53aec85cee27761661186d432541bd,harris,houston tx,0.9976584855006322
2,96370f4735f23cbccb1b77a55cb025dd,harris,houston tx,0.991662927176678
3,a1b6945e0f7b455ee44cdf5007edaf96,harris,houston tx,0.9915589866162416
4,8c7b6d73a3b24d6cf38078db4f27600c,harris,houston tx,0.9913845229783101
5,22ae2105db484fb19689020d4417db1a,polk,houston tx,0.991067299402541
6,5767362bec30c301621bb7dc82d209df,polk,houston tx,0.9900854619568236
7,0c65805c3782fb45ab2381546d534efd,harris,houston tx,0.989576311337654
8,3b7e03ad77c0ab20f5a8b75aeb844038,harris,houston tx,0.9892280746558813
9,12277e0f9a1190dfb551a642715dc444,harris,houston tx,0.9889018929336498
10,709e6acb350684861a139790f9e6f25c,fort bend,houston tx,0.988785703031273
11,dccb8cb58673b3b223a4da7d60c17439,harris,houston tx,0.9885980270967776
12,3a826ff1861f41d9c111d5cf511e57dd,harris,houston tx,0.9881289157823739
13,b2017d25e6c796f09109761066c569db,brazoria,houston tx,0.9881105385597733
14,d7e612cd0b2b2dbcbf7a754f916f9dab,fort bend,houston tx,0.9878113772753128
15,7bd5540e910fbd4c8e7e73ac5656fd36,harris,houston tx,0.9876912281507338
16,774d24fef0f232cff05fd12176356338,harris,houston tx,0.987150242610483
17,639537b1eab90f0fa92ad1685c437667,harris,houston tx,0.9870526430282189
18,eddbf086298d195bb53402baf406f982,harris,houston tx,0.9869343382362106
19,be526187ebbf2bd6de098b3b182d8134,brazoria,houston tx,0.9868929965603768
20,eb228f1ac42b52a3cb6843fed3ff8cc0,harris,houston tx,0.9868190520675397
21,b52c92d5e6edd9792733ccbd229c416d,matagorda,houston tx,0.9867090882732379
22,cf3942fd17361cf8d04fa2942df5b1c6,harris,houston tx,0.98664960243007
23,03272354447780bb435b29cb393fed8f,montgomery,houston tx,0.9864007734236115
24,1f62140b3b1ae111d5b5bbdd54eb2e15,harris,houston tx,0.9857205045658968
25,4e67f6d1e8bc407729fd30651d1e07d2,montgomery,houston tx,0.9854367172462535
26,661e2a5931fd0f2eb08a8aa3d6fd124f,harris,houston tx,0.9848872586521343
27,fd58006168e6ad126fed73b8cbcc81ba,brazoria,houston tx,0.984881928025639
28,44aa45604de9c445d82303ee21318096,harris,houston tx,0.9847726884654154
29,0396a445b382f0f7a590f0f826de493b,harris,houston tx,0.9846221511609813
30,67442cb376006b5b0cdcfe91e8293138,fort bend,houston tx,0.9846209718645292
31,97e7bd7e8b8854d1ff0cc74eb2ffbc58,harris,houston tx,0.9839075963367978
32,3cffd09446f4b7f45015f4b877a85e2c,harris,houston tx,0.9832301463487964
33,ed92acbaccc6b063582f8f6237bdec42,waller,houston tx,0.9831736960462742
34,7461ee24f8d0d3d91466c3a253be7c33,fort bend,houston tx,0.9831138738695411
35,e8cf53955c825b54ab97411292573ce0,harris,houston tx,0.9825633202838601
36,28377801244be21bba3ae3cf457c1d32,brazoria,houston tx,0.9819653041238172
37,49372ddaf76683e3dfd2d17124d0825f,wharton,houston tx,0.9818235914700216
38,50809ee5113a24a759b611e5532857a7,fort bend,houston tx,0.9812950962508658
39,839a775f10b9c4ec421b496a1e57094e,montgomery,houston tx,0.9808344893645413
40,f1043ddf05840f5ff7894dea9ff5847a,montgomery,houston tx,0.9805935472103484
41,6aac78bb7f595c974f0888a729d387a0,harris,houston tx,0.9778345678747496
42,f82b1c28a27ba8ccbc20cce917079f1d,montgomery,houston tx,0.9772171432366309
43,e54cb01b443cdd29093d5fd88b591253,harris,houston tx,0.9769425291363422
44,dc61f38afd43841d97335548f202fb48,fort bend,houston tx,0.9766897710612216
45,e6f3b94271e78eef93db5a9568852c12,harris,houston tx,0.9763501383088518
46,97ccf4cbd7c99330ddc698bb65f284a0,matagorda,houston tx,0.9758149119400212
47,ebad9c1b538cfe6d54ce4507c9020021,fort bend,houston tx,0.9748242955839819
48,625047c5df9a83b7f7e08a4a831a9964,harris,houston tx,0.9742257471059308
49,b06a98a41f1af3b580cf418e2a42dfec,harris,houston tx,0.9739857061249161
50,916b9f8f4453ed6a54c175dd9d056eb5,montgomery,houston tx,0.9730564684294026
51,984ab98c07fd11484142549ea74c6b12,harris,houston tx,0.97116024563491
52,b454cca91307d203ed8ff131f321c35c,fort bend,houston tx,0.9701600629070584
53,771cc60e31979d7e35baa841b2c39d6e,harris,houston tx,0.9695134485587873
54,ff939ee295f623804713da63d991e3a0,harris,houston tx,0.9688115106458641
55,5ff637c638da049db208df748ceba8de,harris,houston tx,0.9682236302135396
56,bf21b0d8e5ac88fe14751636d84796b1,fort bend,houston tx,0.9670710090409899
57,2f10160fd87facb941859f3ff355e5e1,montgomery,houston tx,0.9669434389152443
58,ee95fb1ba496511538163549f876580e,brazoria,houston tx,0.9666369635639367
59,3819707115caaa484be6a7eb1b1a95ba,harris,houston tx,0.9659228679597565
60,77f7610934c8e3e64764602f45203c9c,fort bend,houston tx,0.9658638014122076
61,bbb799d46ce7245532f8f50e7488fbdf,harris,houston tx,0.9656925951826321
62,8c286b317b81e0117f7cdba70e6b5244,harris,houston tx,0.9653598631717428
63,1ba77a4afbe2fdfc38fe72a94d9062fe,brazoria,houston tx,0.965285192082749
64,776353b851234ae02d1ea1d3dc4cbc1c,liberty,houston tx,0.9648154819598629
65,69ce57ccb1479363c2a1e886b20ff360,fort bend,houston tx,0.9640231446592036
66,e81a24ece8ef604e6ed261d2320db879,harris,houston tx,0.9638858615341244
67,6f7ec53a9e76e24a2f2f26ab6fe091c1,galveston,houston tx,0.9634817342302884
68,b1bd1637ad388695712e5eaea27df055,harris,houston tx,0.9628324902676397
69,bb5626584aa00e2b55f0b1fef9217a78,montgomery,houston tx,0.9597731902195641
70,a2ba6673302ad28e8da1707ac07c8d8c,fort bend,houston tx,0.9582858980497395
71,c9fb6a1d1973e00ad0b9f9d4c402496f,fort bend,houston tx,0.9578987269415615
72,9bd6d7e8d4176754086ebb1bc49ac518,galveston,houston tx,0.957785706749569
73,b93be16ae6fcc2d8dc8dc64958c2679e,polk,houston tx,0.9577292327009082
74,cf3239660786411fee7db7cfcbb165b0,harris,houston tx,0.9575880931751597
75,526123f5e7e55990a4331a3f807f1c9c,galveston,houston tx,0.9552197071847126
76,c65f2560341cf73900c5e9c42d1f0cf3,austin,houston tx,0.9540581501842887
77,f9bdc2215304be41ec7c5d908ea975f5,harris,houston tx,0.9534326093729488
78,1f831c65171269c2370a438293b3ea89,harris,houston tx,0.9524645735820361
79,545fcc09608cdb1298439addce613739,harris,houston tx,0.952214338208806
80,24260f047adcf08cd8190317ae7def7a,harris,houston tx,0.9514976491469134
81,abfc6833a8ab2f0b64f3c9428d4548a9,harris,houston tx,0.9509096310842622
82,a54449f8dec6d6ac12aa8c471ef3de3f,fort bend,houston tx,0.9508770474935999
83,ac4802c40c11aa41591b4260731d977e,galveston,houston tx,0.9500910580153359
84,1431da1bf16e96632b8b4ca30b805e24,brazoria,houston tx,0.9490278181640973
85,b2e3eefe978ae8e6309dd0b406534957,harris,houston tx,0.948948079714208
86,dfe8550e8a89f87162695fcaafbfd59f,harris,houston tx,0.9487050595934716
87,8a2475ccbe4c765f57b68ccc4fd07758,fort bend,houston tx,0.9481733206977324
88,55ae2999ab8ab584c17f75bd1fdf08b3,harris,houston tx,0.9474007584750634
89,29f1553420c9a934b9f96845feedd817,brazoria,houston tx,0.94660510558125
90,54dc3e0b40af5ef04a8371b235451014,galveston,houston tx,0.9463736619960279
91,4d6fc83f859c8cee9ee473ce26f26580,harris,houston tx,0.9458976329348285
92,a9f84933e0b6db441003e2a7582e26d2,harris,houston tx,0.9458707425768309
93,8a18eed61ef2d40d1c81e869fea466ac,harris,houston tx,0.9444252388250887
